run_date,name,state,projected_winner,win_prob,rating,alp_proj_vote_share,lib_proj_vote_share,nat_proj_vote_share,grn_proj_vote_share,teal_proj_vote_share,onp_proj_vote_share,oth_proj_vote_share,alp_win_pct,lib_win_pct,nat_win_pct,grn_win_pct,teal_win_pct,onp_win_pct,oth_win_pct
2025-11-03,Brand,WA,alp,0.9873024348397752,Safe Labor,0.4328438125805965,0.198141092758682,0.0,0.1076856124938164,0.0,0.1562062576851956,0.1051232244817094,0.9873024348397752,0.002116260860037708,0.002116260860037708,0.002116260860037708,0.002116260860037708,0.002116260860037708,0.002116260860037708
2025-11-04,Brand,WA,alp,0.9873024353163862,Safe Labor,0.4328438137201142,0.198141092372543,0.0,0.1076856122872689,0.0,0.1562062573314552,0.1051232242886186,0.9873024353163862,0.002116260780602545,0.002116260780602545,0.002116260780602545,0.002116260780602545,0.002116260780602545,0.002116260780602545
2025-11-05,Brand,WA,alp,0.9873024357977633,Safe Labor,0.4328438148710272,0.1981410919825429,0.0,0.107685612078656,0.0,0.1562062569741771,0.1051232240935968,0.9873024357977633,0.002116260700373019,0.002116260700373019,0.002116260700373019,0.002116260700373019,0.002116260700373019,0.002116260700373019
2025-11-06,Brand,WA,alp,0.9873024362839542,Safe Labor,0.4328438160334494,0.1981410915886424,0.0,0.107685611867957,0.0,0.1562062566133263,0.105123223896625,0.9873024362839542,0.002116260619341208,0.002116260619341208,0.002116260619341208,0.002116260619341208,0.002116260619341208,0.002116260619341208
2025-11-07,Brand,WA,alp,0.9873024367750071,Safe Labor,0.4328438172074958,0.1981410911908031,0.0,0.1076856116551508,0.0,0.1562062562488671,0.1051232236976833,0.9873024367750071,0.002116260537499064,0.002116260537499064,0.002116260537499064,0.002116260537499064,0.002116260537499064,0.002116260537499064
2025-11-08,Brand,WA,alp,0.9867179536013378,Safe Labor,0.431152162397037,0.1982841887657853,0.0,0.1080171275832548,0.0,0.1575590543715245,0.1049874668823984,0.9867179536013378,0.002213674399777277,0.002213674399777277,0.002213674399777277,0.002213674399777277,0.002213674399777277,0.002213674399777277
2025-11-09,Brand,WA,alp,0.9867179541223058,Safe Labor,0.431152163595859,0.1982841883606011,0.0,0.1080171273660247,0.0,0.15755905399732,0.1049874666801953,0.9867179541223058,0.002213674312949288,0.002213674312949288,0.002213674312949288,0.002213674312949288,0.002213674312949288,0.002213674312949288
2025-11-10,Brand,WA,alp,0.9867179546484834,Safe Labor,0.4311521648066696,0.1982841879513654,0.0,0.1080171271466218,0.0,0.1575590536193734,0.1049874664759698,0.9867179546484834,0.002213674225253012,0.002213674225253012,0.002213674225253012,0.002213674225253012,0.002213674225253012,0.002213674225253012
2025-11-11,Brand,WA,alp,0.9865855407298083,Safe Labor,0.42608936053899,0.1936273279611889,0.0,0.1090107308201983,0.0,0.1670561394552567,0.1042164412243661,0.9865855407298083,0.00223574321169887,0.00223574321169887,0.00223574321169887,0.00223574321169887,0.00223574321169887,0.00223574321169887
2025-11-12,Brand,WA,alp,0.9865855412672934,Safe Labor,0.4260893617763507,0.193627327557806,0.0,0.1090107305966248,0.0,0.1670561390496688,0.1042164410195497,0.9865855412672934,0.002235743122118027,0.002235743122118027,0.002235743122118027,0.002235743122118027,0.002235743122118027,0.002235743122118027
2025-11-13,Brand,WA,alp,0.9872711197743006,Safe Labor,0.4265134731406534,0.1919108876748152,0.0,0.107709991326024,0.0,0.1706567176705591,0.1032089301879481,0.9872711197743006,0.002121480037616809,0.002121480037616809,0.002121480037616809,0.002121480037616809,0.002121480037616809,0.002121480037616809
2025-11-14,Brand,WA,alp,0.987271120296655,Safe Labor,0.4265134744019562,0.1919108872675945,0.0,0.1077099911010553,0.0,0.1706567172480819,0.1032089299813121,0.987271120296655,0.002121479950557745,0.002121479950557745,0.002121479950557745,0.002121479950557745,0.002121479950557745,0.002121479950557745
2025-11-15,Brand,WA,alp,0.987271120824233,Safe Labor,0.4265134756758723,0.1919108868563017,0.0,0.1077099908738366,0.0,0.1706567168213799,0.1032089297726095,0.987271120824233,0.002121479862628081,0.002121479862628081,0.002121479862628081,0.002121479862628081,0.002121479862628081,0.002121479862628081
2025-11-16,Brand,WA,alp,0.9866745483344305,Safe Labor,0.4237382723849704,0.19100375081525,0.0,0.1083528996721196,0.0,0.1735896128339307,0.1033154642937293,0.9866745483344305,0.002220908610928508,0.002220908610928508,0.002220908610928508,0.002220908610928508,0.002220908610928508,0.002220908610928508
