StateAb,DivisionId,DivisionNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition(0 for TPP candidates),ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercentage
QLD,177,Ryan,37291,LDP,Liberal Democrats,COORY,Damian,2,37271,ALP,Australian Labor Party,COSSAR,Peter,7,665,25.760
QLD,177,Ryan,37291,LDP,Liberal Democrats,COORY,Damian,2,37496,LNP,Liberal National Party of Queensland,SIMMONDS,Julian,8,1917,74.240
QLD,177,Ryan,37580,AUP,Australian Progressives,REES,Janine,3,37271,ALP,Australian Labor Party,COSSAR,Peter,7,458,75.580
QLD,177,Ryan,37580,AUP,Australian Progressives,REES,Janine,3,37496,LNP,Liberal National Party of Queensland,SIMMONDS,Julian,8,148,24.420
QLD,177,Ryan,38236,ON,Pauline Hanson's One Nation,LOVE,Joel,4,37271,ALP,Australian Labor Party,COSSAR,Peter,7,724,32.360
QLD,177,Ryan,38236,ON,Pauline Hanson's One Nation,LOVE,Joel,4,37496,LNP,Liberal National Party of Queensland,SIMMONDS,Julian,8,1513,67.640
QLD,177,Ryan,37202,AJP,Animal Justice Party,LIPMAN,Jina,5,37271,ALP,Australian Labor Party,COSSAR,Peter,7,721,66.270
QLD,177,Ryan,37202,AJP,Animal Justice Party,LIPMAN,Jina,5,37496,LNP,Liberal National Party of Queensland,SIMMONDS,Julian,8,367,33.730
QLD,177,Ryan,37370,GRN,Queensland Greens,WATSON-BROWN,Elizabeth,6,37271,ALP,Australian Labor Party,COSSAR,Peter,7,26448,88.150
QLD,177,Ryan,37370,GRN,Queensland Greens,WATSON-BROWN,Elizabeth,6,37496,LNP,Liberal National Party of Queensland,SIMMONDS,Julian,8,3555,11.850
QLD,177,Ryan,37767,CYA,Australian Federation Party,DANCOISNE,Axel,9,37271,ALP,Australian Labor Party,COSSAR,Peter,7,154,43.630
QLD,177,Ryan,37767,CYA,Australian Federation Party,DANCOISNE,Axel,9,37496,LNP,Liberal National Party of Queensland,SIMMONDS,Julian,8,199,56.370
SA,188,Mayo,0,,,First Preferences,,0,36988,ALP,Australian Labor Party,BELL,Marisa,1,21051,40.130
SA,188,Mayo,0,,,First Preferences,,0,37057,LP,Liberal,BLUCK,Allison,6,31411,59.870
SA,188,Mayo,36606,AJP,Animal Justice Party,CHAPLIN,Padma,2,36988,ALP,Australian Labor Party,BELL,Marisa,1,1281,66.410
SA,188,Mayo,36606,AJP,Animal Justice Party,CHAPLIN,Padma,2,37057,LP,Liberal,BLUCK,Allison,6,648,33.590
SA,188,Mayo,36913,LDP,Liberal Democrats,VAN RAALTE,Jacob,3,36988,ALP,Australian Labor Party,BELL,Marisa,1,384,26.970
SA,188,Mayo,36913,LDP,Liberal Democrats,VAN RAALTE,Jacob,3,37057,LP,Liberal,BLUCK,Allison,6,1040,73.030
SA,188,Mayo,37710,XEN,Centre Alliance,SHARKIE,Rebekha,4,36988,ALP,Australian Labor Party,BELL,Marisa,1,21987,60.240
SA,188,Mayo,37710,XEN,Centre Alliance,SHARKIE,Rebekha,4,37057,LP,Liberal,BLUCK,Allison,6,14513,39.760
SA,188,Mayo,36474,GRN,The Greens,ELLIOTT,Greg,5,36988,ALP,Australian Labor Party,BELL,Marisa,1,11947,87.170
SA,188,Mayo,36474,GRN,The Greens,ELLIOTT,Greg,5,37057,LP,Liberal,BLUCK,Allison,6,1758,12.830
SA,188,Mayo,36423,UAPP,United Australia Party,McGRAIL,Samantha,7,36988,ALP,Australian Labor Party,BELL,Marisa,1,1391,34.020
SA,188,Mayo,36423,UAPP,United Australia Party,McGRAIL,Samantha,7,37057,LP,Liberal,BLUCK,Allison,6,2698,65.980
SA,188,Mayo,36875,ON,Pauline Hanson's One Nation,SCOTT,Tonya,8,36988,ALP,Australian Labor Party,BELL,Marisa,1,1549,32.440
SA,188,Mayo,36875,ON,Pauline Hanson's One Nation,SCOTT,Tonya,8,37057,LP,Liberal,BLUCK,Allison,6,3226,67.560
SA,188,Mayo,37708,CYA,Australian Federation Party,NEUGEBAUER,Mark,9,36988,ALP,Australian Labor Party,BELL,Marisa,1,365,27.440
SA,188,Mayo,37708,CYA,Australian Federation Party,NEUGEBAUER,Mark,9,37057,LP,Liberal,BLUCK,Allison,6,965,72.560
TAS,319,Clark,0,,,First Preferences,,0,37267,ALP,Australian Labor Party,DAVIS,Simon,2,12364,54.220
TAS,319,Clark,0,,,First Preferences,,0,37141,LP,Liberal,COATS,Will,4,10441,45.780
TAS,319,Clark,37607,ON,Pauline Hanson's One Nation,CAMERON,Michelle,1,37267,ALP,Australian Labor Party,DAVIS,Simon,2,926,53.990
TAS,319,Clark,37607,ON,Pauline Hanson's One Nation,CAMERON,Michelle,1,37141,LP,Liberal,COATS,Will,4,789,46.010
TAS,319,Clark,36995,LDP,Liberal Democrats,RAMSDEN,Ian,3,37267,ALP,Australian Labor Party,DAVIS,Simon,2,250,33.830
TAS,319,Clark,36995,LDP,Liberal Democrats,RAMSDEN,Ian,3,37141,LP,Liberal,COATS,Will,4,489,66.170
TAS,319,Clark,37298,GRN,The Greens,SHELLEY,Janet,5,37267,ALP,Australian Labor Party,DAVIS,Simon,2,8088,91.280
TAS,319,Clark,37298,GRN,The Greens,SHELLEY,Janet,5,37141,LP,Liberal,COATS,Will,4,773,8.720
TAS,319,Clark,33553,IND,Independent,WILKIE,Andrew,6,37267,ALP,Australian Labor Party,DAVIS,Simon,2,21687,72.280
